grid_id,grid_code,gu_name,dong_name,living_pop,masked,bus_mobility,subway_mobility,weighted_mobility,pop_adjusted_weighted_mobility
GRID_00001,다사35005050,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00002,다사35005075,강서구,오곡동,6.0,False,0.0,0.0,0.0,0.0
GRID_00003,다사35005100,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00004,다사35255025,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00005,다사35255050,강서구,오곡동,9.1,False,0.0,0.0,0.0,0.0
GRID_00006,다사35255075,강서구,오곡동,68.1,False,0.0,0.0,0.0,0.0
GRID_00007,다사35255100,강서구,오곡동,34.8,False,0.0,0.0,0.0,0.0
GRID_00008,다사35505000,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00009,다사35505025,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00010,다사35505050,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00011,다사35505075,강서구,오곡동,11.8,False,0.0,0.0,0.0,0.0
GRID_00012,다사35505100,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00013,다사35505125,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00014,다사35755000,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00015,다사35755025,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00016,다사35755050,강서구,오곡동,8.5,False,0.0,0.0,0.0,0.0
GRID_00017,다사35755075,강서구,오곡동,15.8,False,0.0,0.0,0.0,0.0
GRID_00018,다사35755100,강서구,오곡동,22.3,False,0.0,0.0,0.0,0.0
GRID_00019,다사35755125,강서구,오곡동,14.6,False,0.0,0.0,0.0,0.0
GRID_00020,다사35755150,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00021,다사35755200,강서구,과해동,0.0,True,0.0,0.0,0.0,0.0
GRID_00022,다사35755225,강서구,과해동,0.0,True,0.0,0.0,0.0,0.0
GRID_00023,다사36004975,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00024,다사36005000,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00025,다사36005025,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00026,다사36005050,강서구,오곡동,5.4,False,0.0,0.0,0.0,0.0
GRID_00027,다사36005075,강서구,오곡동,4.7,False,0.0,0.0,0.0,0.0
GRID_00028,다사36005100,강서구,오곡동,7.2,False,0.0,0.0,0.0,0.0
GRID_00029,다사36005125,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00030,다사36005150,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00031,다사36005175,강서구,과해동,25.7,False,0.0,0.0,0.0,0.0
GRID_00032,다사36005200,강서구,과해동,6.4,False,0.0,0.0,0.0,0.0
GRID_00033,다사36005225,강서구,과해동,0.0,True,0.0,0.0,0.0,0.0
GRID_00034,다사36254975,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00035,다사36255000,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00036,다사36255025,강서구,오곡동,9.4,False,0.0,0.0,0.0,0.0
GRID_00037,다사36255050,강서구,오곡동,21.7,False,0.0,0.0,0.0,0.0
GRID_00038,다사36255075,강서구,오곡동,33.0,False,0.0,0.0,0.0,0.0
GRID_00039,다사36255100,강서구,오곡동,35.7,False,0.0,0.0,0.0,0.0
GRID_00040,다사36255125,강서구,과해동,4.4,False,0.0,0.0,0.0,0.0
GRID_00041,다사36255150,강서구,과해동,28.9,False,0.0,0.0,0.0,0.0
GRID_00042,다사36255175,강서구,과해동,12.3,False,0.0,0.0,0.0,0.0
GRID_00043,다사36255200,강서구,과해동,0.0,True,0.0,0.0,0.0,0.0
GRID_00044,다사36255225,강서구,과해동,0.0,True,0.0,0.0,0.0,0.0
GRID_00045,다사36255250,강서구,과해동,0.0,True,0.0,0.0,0.0,0.0
GRID_00046,다사36504975,강서구,오곡동,0.0,True,0.0,0.0,0.0,0.0
GRID_00047,다사36505000,강서구,오곡동,21.0,False,0.0,0.0,0.0,0.0
